config,seed,fold,n_val_subjects,accuracy,balanced_accuracy,macro_f1,macro_auc
baseline,0,0,11,0.5782828282828283,0.5782828282828283,0.5782828282828283,0.77273205540251
baseline,0,1,11,0.5984848484848485,0.5984848484848485,0.5984848484848485,0.7798821548821548
baseline,0,2,11,0.5126262626262627,0.5126262626262627,0.5126262626262627,0.7389902816039179
baseline,0,3,10,0.5722222222222222,0.5722222222222223,0.5722222222222223,0.7815740740740741
baseline,0,4,10,0.5888888888888889,0.5888888888888889,0.5888888888888889,0.7807233796296296
baseline,1,0,11,0.5580808080808081,0.5580808080808081,0.5580808080808081,0.775855142332415
baseline,1,1,11,0.5883838383838383,0.5883838383838383,0.5883838383838383,0.7793464952555862
baseline,1,2,11,0.5732323232323232,0.5732323232323232,0.5732323232323232,0.7872905188246099
baseline,1,3,10,0.5611111111111111,0.5611111111111112,0.5611111111111112,0.7679976851851852
baseline,1,4,10,0.5138888888888888,0.513888888888889,0.513888888888889,0.7402546296296296
baseline,2,0,11,0.5378787878787878,0.537878787878788,0.537878787878788,0.7431320783593511
baseline,2,1,11,0.601010101010101,0.601010101010101,0.601010101010101,0.7892944597490051
baseline,2,2,11,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.8022985537190083
baseline,2,3,10,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.775295138888889
baseline,2,4,10,0.5777777777777777,0.5777777777777778,0.5777777777777778,0.7718113425925925
baseline,3,0,11,0.5505050505050505,0.5505050505050505,0.5505050505050505,0.7558252984389348
baseline,3,1,11,0.5808080808080808,0.5808080808080808,0.5808080808080808,0.7966932583409857
baseline,3,2,11,0.5656565656565656,0.5656565656565656,0.5656565656565656,0.7740616391184573
baseline,3,3,10,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.7607349537037038
baseline,3,4,10,0.575,0.5750000000000001,0.5750000000000001,0.7871064814814815
baseline,4,0,11,0.5328282828282829,0.5328282828282829,0.5328282828282829,0.7490673783287422
baseline,4,1,11,0.5732323232323232,0.5732323232323232,0.5732323232323232,0.7649889041934497
baseline,4,2,11,0.5505050505050505,0.5505050505050505,0.5505050505050505,0.7622914753596571
baseline,4,3,10,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.7900347222222223
baseline,4,4,10,0.5944444444444444,0.5944444444444444,0.5944444444444444,0.7815451388888889
spo2flag_binary,0,0,11,0.5808080808080808,0.5808080808080808,0.5808080808080808,0.7736025022956841
spo2flag_binary,0,1,11,0.601010101010101,0.601010101010101,0.601010101010101,0.779059534741353
spo2flag_binary,0,2,11,0.5126262626262627,0.5126262626262627,0.5126262626262627,0.7392868074686256
spo2flag_binary,0,3,10,0.5694444444444444,0.5694444444444445,0.5694444444444445,0.7816319444444444
spo2flag_binary,0,4,10,0.5805555555555556,0.5805555555555556,0.5805555555555556,0.7803645833333333
spo2flag_binary,1,0,11,0.5580808080808081,0.5580808080808081,0.5580808080808081,0.7764577594123048
spo2flag_binary,1,1,11,0.5883838383838383,0.5883838383838383,0.5883838383838383,0.7793034511784511
spo2flag_binary,1,2,11,0.5883838383838383,0.5883838383838383,0.5883838383838383,0.784153083868993
spo2flag_binary,1,3,10,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7664699074074074
spo2flag_binary,1,4,10,0.5138888888888888,0.513888888888889,0.513888888888889,0.7427199074074075
spo2flag_binary,2,0,11,0.5429292929292929,0.5429292929292929,0.5429292929292929,0.7426012014080197
spo2flag_binary,2,1,11,0.5959595959595959,0.5959595959595959,0.5959595959595959,0.7904183884297521
spo2flag_binary,2,2,11,0.6161616161616161,0.6161616161616161,0.6161616161616161,0.800992883379247
spo2flag_binary,2,3,10,0.5444444444444444,0.5444444444444444,0.5444444444444444,0.7748668981481481
spo2flag_binary,2,4,10,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.7719502314814815
spo2flag_binary,3,0,11,0.5505050505050505,0.5505050505050505,0.5505050505050505,0.754400061218243
spo2flag_binary,3,1,11,0.5858585858585859,0.5858585858585859,0.5858585858585859,0.7958706382001837
spo2flag_binary,3,2,11,0.5631313131313131,0.5631313131313131,0.5631313131313131,0.7738225053565962
spo2flag_binary,3,3,10,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.7604803240740741
spo2flag_binary,3,4,10,0.5666666666666667,0.5666666666666668,0.5666666666666668,0.7862037037037037
spo2flag_binary,4,0,11,0.5353535353535354,0.5353535353535354,0.5353535353535354,0.747465182124273
spo2flag_binary,4,1,11,0.5707070707070707,0.5707070707070707,0.5707070707070707,0.764931512090603
spo2flag_binary,4,2,11,0.5606060606060606,0.5606060606060607,0.5606060606060607,0.7642906336088154
spo2flag_binary,4,3,10,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.7893518518518517
spo2flag_binary,4,4,10,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.7788773148148148
median_lp1_small,0,0,11,0.547979797979798,0.547979797979798,0.547979797979798,0.762133647076829
median_lp1_small,0,1,11,0.5606060606060606,0.5606060606060607,0.5606060606060607,0.7578961968166514
median_lp1_small,0,2,11,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.7548209366391184
median_lp1_small,0,3,10,0.5527777777777778,0.5527777777777778,0.5527777777777778,0.775167824074074
median_lp1_small,0,4,10,0.5944444444444444,0.5944444444444444,0.5944444444444444,0.7794560185185184
median_lp1_small,1,0,11,0.6161616161616161,0.6161616161616162,0.6161616161616162,0.7932449494949495
median_lp1_small,1,1,11,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.7821491429445975
median_lp1_small,1,2,11,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.7759316651362106
median_lp1_small,1,3,10,0.575,0.5750000000000001,0.5750000000000001,0.7630671296296296
median_lp1_small,1,4,10,0.5722222222222222,0.5722222222222222,0.5722222222222222,0.7516608796296295
median_lp1_small,2,0,11,0.5429292929292929,0.5429292929292929,0.5429292929292929,0.7475608356290174
median_lp1_small,2,1,11,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.7803843357820631
median_lp1_small,2,2,11,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.7789877946127947
median_lp1_small,2,3,10,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.7786111111111111
median_lp1_small,2,4,10,0.5722222222222222,0.5722222222222223,0.5722222222222223,0.7796064814814815
median_lp1_small,3,0,11,0.5404040404040404,0.5404040404040404,0.5404040404040404,0.7370389501071318
median_lp1_small,3,1,11,0.5959595959595959,0.595959595959596,0.595959595959596,0.8028485613712887
median_lp1_small,3,2,11,0.5454545454545454,0.5454545454545455,0.5454545454545455,0.7717946510560146
median_lp1_small,3,3,10,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.7661284722222222
median_lp1_small,3,4,10,0.6111111111111112,0.611111111111111,0.611111111111111,0.7950578703703705
median_lp1_small,4,0,11,0.5328282828282829,0.5328282828282828,0.5328282828282828,0.7328397612488521
median_lp1_small,4,1,11,0.5580808080808081,0.5580808080808081,0.5580808080808081,0.7701063666972757
median_lp1_small,4,2,11,0.5606060606060606,0.5606060606060607,0.5606060606060607,0.7507604453627182
median_lp1_small,4,3,10,0.6194444444444445,0.6194444444444445,0.6194444444444445,0.798894675925926
