split,subject,stratum,responder_strength,macro_f1,k
loso,1,0,5.483057498931885,0.6666666666666666,1
loso,2,0,15.268511772155762,0.4166666666666667,1
loso,4,0,4.745827674865723,0.4166666666666667,1
loso,5,0,11.29763412475586,0.6666666666666666,1
loso,6,0,10.289689064025879,0.5833333333333334,1
loso,8,0,8.2930908203125,0.5833333333333334,1
loso,11,0,3.661076545715332,0.5,1
loso,12,0,6.768889427185059,0.5,1
loso,13,0,5.53353214263916,0.5,1
loso,15,0,6.016080856323242,0.5,1
loso,16,0,6.853532791137695,0.75,1
loso,18,0,6.875477313995361,0.4166666666666667,1
loso,21,0,6.059638023376465,0.5833333333333334,1
loso,22,0,5.0353007316589355,0.5,1
loso,24,0,4.067410469055176,0.6666666666666666,1
loso,25,0,3.466282367706299,0.6666666666666666,1
loso,27,0,4.950122833251953,0.5,1
loso,28,0,3.468705415725708,0.8333333333333334,1
loso,29,0,9.991820335388184,0.5,1
loso,30,0,5.666553497314453,0.5,1
loso,34,0,7.020632266998291,0.6666666666666666,1
loso,36,0,4.1647515296936035,0.6666666666666666,1
loso,37,0,3.55100154876709,0.5833333333333334,1
loso,41,0,6.754418849945068,0.5833333333333334,1
loso,42,0,8.899688720703125,0.5833333333333334,1
loso,43,0,5.403414726257324,0.5,1
loso,44,0,4.567148208618164,0.5833333333333334,1
loso,45,0,4.966814994812012,0.5833333333333334,1
loso,46,0,3.136904239654541,0.5,1
loso,47,0,8.70332145690918,0.5833333333333334,1
loso,48,0,5.387817859649658,0.5833333333333334,1
loso,49,0,5.741820335388184,0.5833333333333334,1
loso,52,0,4.7716965675354,0.5833333333333334,1
loso,53,0,3.805508613586426,0.6666666666666666,1
loso,55,0,4.2115397453308105,0.4166666666666667,1
loso,56,0,3.5431220531463623,0.4166666666666667,1
loso,57,0,5.192074298858643,0.5,1
loso,58,0,6.940463542938232,0.4166666666666667,1
loso,59,0,6.267582893371582,0.6666666666666666,1
loso,60,0,4.816225051879883,0.5,1
loso,63,0,4.817370414733887,0.4166666666666667,1
val,7,0,13.883086204528809,0.5,1
val,9,0,16.824832916259766,0.5833333333333334,1
val,10,0,6.082812309265137,0.5,1
val,14,0,3.967384099960327,0.5833333333333334,1
val,19,0,11.72419261932373,0.5,1
val,35,0,4.105310440063477,0.5,1
val,38,0,3.8232855796813965,0.5833333333333334,1
val,39,0,9.087468147277832,0.5833333333333334,1
val,40,0,4.617848873138428,0.5833333333333334,1
val,61,0,4.148331165313721,0.6666666666666666,1
val,62,0,5.286617755889893,0.5,1
val,65,0,4.017488479614258,0.5,1
loso,1,1,5.483057498931885,0.6666666666666666,2
loso,2,1,15.268511772155762,0.4166666666666667,2
loso,4,0,4.745827674865723,0.3333333333333333,2
loso,5,1,11.29763412475586,0.5,2
loso,6,1,10.289689064025879,0.75,2
loso,8,1,8.2930908203125,0.5833333333333334,2
loso,11,0,3.661076545715332,0.5,2
loso,12,1,6.768889427185059,0.5833333333333334,2
loso,13,1,5.53353214263916,0.5833333333333334,2
loso,15,1,6.016080856323242,0.5,2
loso,16,1,6.853532791137695,0.5833333333333334,2
loso,18,1,6.875477313995361,0.5,2
loso,21,1,6.059638023376465,0.4166666666666667,2
loso,22,0,5.0353007316589355,0.5,2
loso,24,0,4.067410469055176,0.6666666666666666,2
loso,25,0,3.466282367706299,0.75,2
loso,27,0,4.950122833251953,0.5833333333333334,2
loso,28,0,3.468705415725708,0.6666666666666666,2
loso,29,1,9.991820335388184,0.4166666666666667,2
loso,30,1,5.666553497314453,0.5833333333333334,2
loso,34,1,7.020632266998291,0.5833333333333334,2
loso,36,0,4.1647515296936035,0.5,2
loso,37,0,3.55100154876709,0.5,2
loso,41,1,6.754418849945068,0.5833333333333334,2
loso,42,1,8.899688720703125,0.6666666666666666,2
loso,43,1,5.403414726257324,0.5,2
loso,44,0,4.567148208618164,0.5833333333333334,2
loso,45,0,4.966814994812012,0.6666666666666666,2
loso,46,0,3.136904239654541,0.5,2
loso,47,1,8.70332145690918,0.5833333333333334,2
loso,48,0,5.387817859649658,0.6666666666666666,2
loso,49,1,5.741820335388184,0.6666666666666666,2
loso,52,0,4.7716965675354,0.5,2
loso,53,0,3.805508613586426,0.5833333333333334,2
loso,55,0,4.2115397453308105,0.3333333333333333,2
loso,56,0,3.5431220531463623,0.3333333333333333,2
loso,57,0,5.192074298858643,0.3333333333333333,2
loso,58,1,6.940463542938232,0.3333333333333333,2
loso,59,1,6.267582893371582,0.75,2
loso,60,0,4.816225051879883,0.5833333333333334,2
loso,63,0,4.817370414733887,0.4166666666666667,2
val,7,1,13.883086204528809,0.5833333333333334,2
val,9,1,16.824832916259766,0.5833333333333334,2
val,10,1,6.082812309265137,0.5833333333333334,2
val,14,0,3.967384099960327,0.5833333333333334,2
val,19,1,11.72419261932373,0.3333333333333333,2
val,35,0,4.105310440063477,0.4166666666666667,2
val,38,0,3.8232855796813965,0.5,2
val,39,1,9.087468147277832,0.6666666666666666,2
val,40,0,4.617848873138428,0.6666666666666666,2
val,61,0,4.148331165313721,0.5833333333333334,2
val,62,0,5.286617755889893,0.6666666666666666,2
val,65,0,4.017488479614258,0.4166666666666667,2
loso,1,1,5.483057498931885,0.6666666666666666,3
loso,2,2,15.268511772155762,0.4166666666666667,3
loso,4,0,4.745827674865723,0.3333333333333333,3
loso,5,2,11.29763412475586,0.5833333333333334,3
loso,6,2,10.289689064025879,0.75,3
loso,8,2,8.2930908203125,0.5833333333333334,3
loso,11,0,3.661076545715332,0.4166666666666667,3
loso,12,2,6.768889427185059,0.5833333333333334,3
loso,13,1,5.53353214263916,0.6666666666666666,3
loso,15,1,6.016080856323242,0.5,3
loso,16,2,6.853532791137695,0.6666666666666666,3
loso,18,2,6.875477313995361,0.5,3
loso,21,1,6.059638023376465,0.6666666666666666,3
